"repeat_id","outer_seed","outer_fold","sample_id"
1,20260620,1,"GSM615106"
1,20260620,1,"GSM615109"
1,20260620,1,"GSM615112"
1,20260620,1,"GSM615113"
1,20260620,1,"GSM615114"
1,20260620,1,"GSM615121"
1,20260620,1,"GSM615122"
1,20260620,1,"GSM615124"
1,20260620,1,"GSM615128"
1,20260620,1,"GSM615130"
1,20260620,1,"GSM615135"
1,20260620,1,"GSM615139"
1,20260620,1,"GSM615140"
1,20260620,1,"GSM615156"
1,20260620,1,"GSM615168"
1,20260620,1,"GSM615171"
1,20260620,1,"GSM615173"
1,20260620,1,"GSM615180"
1,20260620,1,"GSM615192"
1,20260620,1,"GSM615202"
1,20260620,1,"GSM615204"
1,20260620,1,"GSM615207"
1,20260620,1,"GSM615210"
1,20260620,1,"GSM615211"
1,20260620,1,"GSM615214"
1,20260620,1,"GSM615219"
1,20260620,1,"GSM615222"
1,20260620,1,"GSM615226"
1,20260620,1,"GSM615227"
1,20260620,1,"GSM615228"
1,20260620,1,"GSM615229"
1,20260620,1,"GSM615243"
1,20260620,1,"GSM615252"
1,20260620,1,"GSM615257"
1,20260620,1,"GSM615258"
1,20260620,1,"GSM615264"
1,20260620,1,"GSM615270"
1,20260620,1,"GSM615274"
1,20260620,1,"GSM615275"
1,20260620,1,"GSM615291"
1,20260620,1,"GSM615298"
1,20260620,1,"GSM615299"
1,20260620,1,"GSM615308"
1,20260620,1,"GSM615309"
1,20260620,1,"GSM615317"
1,20260620,1,"GSM615320"
1,20260620,1,"GSM615321"
1,20260620,1,"GSM615323"
1,20260620,1,"GSM615324"
1,20260620,1,"GSM615340"
1,20260620,1,"GSM615342"
1,20260620,1,"GSM615344"
1,20260620,1,"GSM615353"
1,20260620,1,"GSM615354"
1,20260620,1,"GSM615358"
1,20260620,1,"GSM615367"
1,20260620,1,"GSM615368"
1,20260620,1,"GSM615372"
1,20260620,1,"GSM615385"
1,20260620,1,"GSM615388"
1,20260620,1,"GSM615390"
1,20260620,1,"GSM615400"
1,20260620,2,"GSM615096"
1,20260620,2,"GSM615099"
1,20260620,2,"GSM615104"
1,20260620,2,"GSM615115"
1,20260620,2,"GSM615116"
1,20260620,2,"GSM615117"
1,20260620,2,"GSM615123"
