"repeat_id","outer_fold","arm","best_cost","cost","mean_inner_balanced_accuracy"
1,1,"leaky_global_selection",0.25,0.25,0.584871794871795
1,1,"leaky_global_selection",0.25,1,0.563760683760684
1,1,"leaky_global_selection",0.25,4,0.561260683760684
1,1,"guarded_within_partition",0.25,0.25,0.609059829059829
1,1,"guarded_within_partition",0.25,1,0.589337606837607
1,1,"guarded_within_partition",0.25,4,0.581837606837607
1,2,"leaky_global_selection",0.25,0.25,0.568547008547009
1,2,"leaky_global_selection",0.25,1,0.545555555555556
1,2,"leaky_global_selection",0.25,4,0.546666666666667
1,2,"guarded_within_partition",4,0.25,0.582435897435897
1,2,"guarded_within_partition",4,1,0.58
1,2,"guarded_within_partition",4,4,0.588547008547009
1,3,"leaky_global_selection",0.25,0.25,0.582777777777778
1,3,"leaky_global_selection",0.25,1,0.534444444444444
1,3,"leaky_global_selection",0.25,4,0.555555555555556
1,3,"guarded_within_partition",0.25,0.25,0.575277777777778
1,3,"guarded_within_partition",0.25,1,0.536944444444444
1,3,"guarded_within_partition",0.25,4,0.548055555555556
1,4,"leaky_global_selection",0.25,0.25,0.548974358974359
1,4,"leaky_global_selection",0.25,1,0.530555555555556
1,4,"leaky_global_selection",0.25,4,0.529316239316239
1,4,"guarded_within_partition",0.25,0.25,0.536752136752137
1,4,"guarded_within_partition",0.25,1,0.536752136752137
1,4,"guarded_within_partition",0.25,4,0.525641025641026
1,5,"leaky_global_selection",0.25,0.25,0.637222222222222
1,5,"leaky_global_selection",0.25,1,0.620854700854701
1,5,"leaky_global_selection",0.25,4,0.606132478632479
1,5,"guarded_within_partition",0.25,0.25,0.645235042735043
1,5,"guarded_within_partition",0.25,1,0.630576923076923
1,5,"guarded_within_partition",0.25,4,0.644123931623932
2,1,"leaky_global_selection",0.25,0.25,0.585277777777778
2,1,"leaky_global_selection",0.25,1,0.567777777777778
2,1,"leaky_global_selection",0.25,4,0.553055555555556
2,1,"guarded_within_partition",1,0.25,0.538055555555556
2,1,"guarded_within_partition",1,1,0.550555555555556
2,1,"guarded_within_partition",1,4,0.548055555555556
2,2,"leaky_global_selection",4,0.25,0.5825
2,2,"leaky_global_selection",4,1,0.586111111111111
2,2,"leaky_global_selection",4,4,0.593611111111111
2,2,"guarded_within_partition",0.25,0.25,0.561196581196581
2,2,"guarded_within_partition",0.25,1,0.515299145299145
2,2,"guarded_within_partition",0.25,4,0.515299145299145
2,3,"leaky_global_selection",0.25,0.25,0.560491452991453
2,3,"leaky_global_selection",0.25,1,0.535555555555556
2,3,"leaky_global_selection",0.25,4,0.524444444444444
2,3,"guarded_within_partition",0.25,0.25,0.606688034188034
2,3,"guarded_within_partition",0.25,1,0.578418803418803
2,3,"guarded_within_partition",0.25,4,0.589529914529915
2,4,"leaky_global_selection",0.25,0.25,0.526944444444444
2,4,"leaky_global_selection",0.25,1,0.513333333333333
2,4,"leaky_global_selection",0.25,4,0.497222222222222
2,4,"guarded_within_partition",1,0.25,0.518333333333333
2,4,"guarded_within_partition",1,1,0.529444444444444
2,4,"guarded_within_partition",1,4,0.509722222222222
2,5,"leaky_global_selection",0.25,0.25,0.635769230769231
2,5,"leaky_global_selection",0.25,1,0.558974358974359
2,5,"leaky_global_selection",0.25,4,0.561410256410256
2,5,"guarded_within_partition",0.25,0.25,0.593824786324786
2,5,"guarded_within_partition",0.25,1,0.563760683760684
2,5,"guarded_within_partition",0.25,4,0.563760683760684
3,1,"leaky_global_selection",1,0.25,0.59008547008547
3,1,"leaky_global_selection",1,1,0.627094017094017
3,1,"leaky_global_selection",1,4,0.607435897435897
3,1,"guarded_within_partition",0.25,0.25,0.598547008547009
3,1,"guarded_within_partition",0.25,1,0.577307692307692
3,1,"guarded_within_partition",0.25,4,0.54758547008547
3,2,"leaky_global_selection",0.25,0.25,0.560149572649573
3,2,"leaky_global_selection",0.25,1,0.525491452991453
3,2,"leaky_global_selection",0.25,4,0.553760683760684
3,2,"guarded_within_partition",0.25,0.25,0.579871794871795
3,2,"guarded_within_partition",0.25,1,0.555213675213675
3,2,"guarded_within_partition",0.25,4,0.535491452991453
3,3,"leaky_global_selection",0.25,0.25,0.591047008547009
3,3,"leaky_global_selection",0.25,1,0.568824786324786
3,3,"leaky_global_selection",0.25,4,0.566324786324786
3,3,"guarded_within_partition",0.25,0.25,0.552713675213675
3,3,"guarded_within_partition",0.25,1,0.540555555555556
3,3,"guarded_within_partition",0.25,4,0.546602564102564
3,4,"leaky_global_selection",1,0.25,0.539444444444444
3,4,"leaky_global_selection",1,1,0.56008547008547
3,4,"leaky_global_selection",1,4,0.559102564102564
3,4,"guarded_within_partition",0.25,0.25,0.531752136752137
3,4,"guarded_within_partition",0.25,1,0.52517094017094
3,4,"guarded_within_partition",0.25,4,0.52767094017094
3,5,"leaky_global_selection",0.25,0.25,0.6
3,5,"leaky_global_selection",0.25,1,0.573888888888889
3,5,"leaky_global_selection",0.25,4,0.561666666666667
3,5,"guarded_within_partition",0.25,0.25,0.594722222222222
