"fold","rank","feature"
1,1,"204750_s_at"
1,2,"205225_at"
1,3,"210084_x_at"
1,4,"214440_at"
1,5,"204822_at"
1,6,"204825_at"
1,7,"219051_x_at"
1,8,"203999_at"
1,9,"212956_at"
1,10,"203693_s_at"
1,11,"210052_s_at"
1,12,"212960_at"
1,13,"204400_at"
1,14,"205347_s_at"
1,15,"221864_at"
1,16,"209832_s_at"
1,17,"206869_at"
1,18,"209122_at"
1,19,"213134_x_at"
1,20,"205548_s_at"
1,21,"216092_s_at"
1,22,"204315_s_at"
1,23,"221524_s_at"
1,24,"202263_at"
1,25,"206373_at"
1,26,"202870_s_at"
1,27,"214053_at"
1,28,"221046_s_at"
1,29,"204962_s_at"
1,30,"204914_s_at"
1,31,"202107_s_at"
1,32,"211235_s_at"
1,33,"210735_s_at"
1,34,"212099_at"
1,35,"203692_s_at"
1,36,"214431_at"
1,37,"212196_at"
1,38,"212195_at"
1,39,"203397_s_at"
1,40,"214164_x_at"
1,41,"202240_at"
1,42,"218211_s_at"
1,43,"209204_at"
1,44,"203963_at"
1,45,"212638_s_at"
1,46,"216603_at"
1,47,"209604_s_at"
1,48,"222039_at"
1,49,"205201_at"
1,50,"209623_at"
1,51,"215867_x_at"
1,52,"222275_at"
1,53,"218259_at"
1,54,"219197_s_at"
1,55,"214428_x_at"
1,56,"212492_s_at"
1,57,"221203_s_at"
1,58,"213032_at"
1,59,"202752_x_at"
1,60,"204767_s_at"
1,61,"218902_at"
1,62,"210085_s_at"
1,63,"205696_s_at"
1,64,"203038_at"
1,65,"203712_at"
1,66,"220865_s_at"
1,67,"200934_at"
1,68,"209289_at"
1,69,"212265_at"
1,70,"208451_s_at"
1,71,"203702_s_at"
1,72,"200052_s_at"
1,73,"209114_at"
1,74,"209173_at"
1,75,"209644_x_at"
1,76,"218726_at"
1,77,"203418_at"
1,78,"206754_s_at"
1,79,"207030_s_at"
1,80,"202035_s_at"
1,81,"209408_at"
1,82,"201938_at"
1,83,"218394_at"
1,84,"218542_at"
1,85,"219806_s_at"
1,86,"209290_s_at"
1,87,"204863_s_at"
1,88,"202088_at"
1,89,"212330_at"
1,90,"218236_s_at"
1,91,"211126_s_at"
1,92,"219956_at"
1,93,"207039_at"
1,94,"204623_at"
1,95,"203222_s_at"
1,96,"220295_x_at"
1,97,"213564_x_at"
1,98,"213029_at"
1,99,"218755_at"
1,100,"206391_at"
2,1,"200718_s_at"
2,2,"204750_s_at"
2,3,"205225_at"
2,4,"212960_at"
2,5,"212956_at"
2,6,"204012_s_at"
2,7,"209204_at"
2,8,"204825_at"
2,9,"214440_at"
2,10,"221524_s_at"
2,11,"210084_x_at"
2,12,"204623_at"
2,13,"203693_s_at"
2,14,"209604_s_at"
2,15,"202589_at"
2,16,"208451_s_at"
2,17,"201231_s_at"
2,18,"202870_s_at"
2,19,"216237_s_at"
2,20,"203702_s_at"
2,21,"214428_x_at"
2,22,"216092_s_at"
2,23,"206391_at"
2,24,"204317_at"
2,25,"209122_at"
2,26,"206194_at"
2,27,"221872_at"
2,28,"206392_s_at"
2,29,"203999_at"
2,30,"208682_s_at"
2,31,"210052_s_at"
2,32,"214164_x_at"
2,33,"219752_at"
2,34,"212099_at"
2,35,"218211_s_at"
2,36,"209781_s_at"
2,37,"206754_s_at"
2,38,"214053_at"
2,39,"210096_at"
2,40,"215867_x_at"
2,41,"219197_s_at"
2,42,"206373_at"
2,43,"209173_at"
2,44,"209603_at"
2,45,"218009_s_at"
2,46,"200960_x_at"
2,47,"222275_at"
2,48,"205074_at"
2,49,"204822_at"
2,50,"213260_at"
2,51,"218902_at"
2,52,"213032_at"
2,53,"200670_at"
2,54,"201116_s_at"
2,55,"212638_s_at"
2,56,"210735_s_at"
2,57,"203963_at"
2,58,"202752_x_at"
2,59,"218259_at"
2,60,"221207_s_at"
2,61,"202263_at"
2,62,"204050_s_at"
2,63,"209644_x_at"
2,64,"212441_at"
2,65,"209623_at"
2,66,"209289_at"
2,67,"213134_x_at"
2,68,"204605_at"
2,69,"212022_s_at"
2,70,"213029_at"
2,71,"219051_x_at"
2,72,"209791_at"
2,73,"205201_at"
2,74,"204962_s_at"
2,75,"211712_s_at"
2,76,"209290_s_at"
2,77,"219874_at"
2,78,"205548_s_at"
2,79,"200711_s_at"
2,80,"219741_x_at"
2,81,"218755_at"
2,82,"200011_s_at"
2,83,"222125_s_at"
2,84,"218486_at"
2,85,"202088_at"
2,86,"205009_at"
2,87,"208711_s_at"
2,88,"203712_at"
2,89,"209114_at"
2,90,"218976_at"
2,91,"205186_at"
2,92,"203788_s_at"
2,93,"216603_at"
2,94,"212195_at"
2,95,"205696_s_at"
2,96,"201826_s_at"
2,97,"203929_s_at"
2,98,"203625_x_at"
2,99,"214552_s_at"
2,100,"210074_at"
3,1,"204750_s_at"
3,2,"205548_s_at"
3,3,"213134_x_at"
3,4,"212099_at"
3,5,"204825_at"
3,6,"221986_s_at"
3,7,"218236_s_at"
3,8,"203702_s_at"
3,9,"209623_at"
3,10,"203038_at"
3,11,"203693_s_at"
3,12,"200934_at"
3,13,"205225_at"
3,14,"209114_at"
3,15,"204061_at"
3,16,"213032_at"
3,17,"201407_s_at"
3,18,"210024_s_at"
3,19,"215034_s_at"
3,20,"200011_s_at"
3,21,"209204_at"
3,22,"218776_s_at"
3,23,"209644_x_at"
3,24,"209289_at"
3,25,"218211_s_at"
3,26,"218532_s_at"
3,27,"221934_s_at"
3,28,"210758_at"
3,29,"204400_at"
3,30,"209387_s_at"
3,31,"219498_s_at"
3,32,"209386_at"
3,33,"219051_x_at"
3,34,"209290_s_at"
3,35,"212492_s_at"
3,36,"216092_s_at"
3,37,"213029_at"
3,38,"202134_s_at"
3,39,"212956_at"
3,40,"208165_s_at"
3,41,"214745_at"
3,42,"208103_s_at"
3,43,"212265_at"
3,44,"210084_x_at"
3,45,"210052_s_at"
3,46,"204822_at"
3,47,"221505_at"
3,48,"218164_at"
3,49,"211931_s_at"
3,50,"1438_at"
3,51,"209211_at"
3,52,"202263_at"
3,53,"212960_at"
3,54,"206392_s_at"
3,55,"206194_at"
3,56,"218902_at"
3,57,"205074_at"
3,58,"203358_s_at"
3,59,"222275_at"
3,60,"202412_s_at"
3,61,"214440_at"
3,62,"202933_s_at"
3,63,"200052_s_at"
3,64,"203999_at"
3,65,"211466_at"
3,66,"200718_s_at"
3,67,"205044_at"
3,68,"201177_s_at"
3,69,"219752_at"
3,70,"204775_at"
3,71,"218886_at"
3,72,"204304_s_at"
3,73,"214496_x_at"
3,74,"201231_s_at"
3,75,"217744_s_at"
3,76,"206391_at"
3,77,"213249_at"
3,78,"201938_at"
3,79,"211084_x_at"
3,80,"209109_s_at"
3,81,"201663_s_at"
3,82,"203066_at"
3,83,"214431_at"
3,84,"212022_s_at"
3,85,"201563_at"
3,86,"203458_at"
3,87,"218726_at"
3,88,"208872_s_at"
3,89,"214428_x_at"
3,90,"207039_at"
3,91,"204240_s_at"
3,92,"209604_s_at"
