"seed","arm","repeat_id","fold","sample_id"
20260620,"leaky",1,1,"GSM615097"
20260620,"leaky",1,1,"GSM615098"
20260620,"leaky",1,1,"GSM615101"
20260620,"leaky",1,1,"GSM615104"
20260620,"leaky",1,1,"GSM615106"
20260620,"leaky",1,1,"GSM615112"
20260620,"leaky",1,1,"GSM615121"
20260620,"leaky",1,1,"GSM615125"
20260620,"leaky",1,1,"GSM615132"
20260620,"leaky",1,1,"GSM615133"
20260620,"leaky",1,1,"GSM615147"
20260620,"leaky",1,1,"GSM615154"
20260620,"leaky",1,1,"GSM615167"
20260620,"leaky",1,1,"GSM615170"
20260620,"leaky",1,1,"GSM615187"
20260620,"leaky",1,1,"GSM615193"
20260620,"leaky",1,1,"GSM615194"
20260620,"leaky",1,1,"GSM615195"
20260620,"leaky",1,1,"GSM615206"
20260620,"leaky",1,1,"GSM615211"
20260620,"leaky",1,1,"GSM615214"
20260620,"leaky",1,1,"GSM615221"
20260620,"leaky",1,1,"GSM615223"
20260620,"leaky",1,1,"GSM615224"
20260620,"leaky",1,1,"GSM615226"
20260620,"leaky",1,1,"GSM615240"
20260620,"leaky",1,1,"GSM615247"
20260620,"leaky",1,1,"GSM615248"
20260620,"leaky",1,1,"GSM615257"
20260620,"leaky",1,1,"GSM615260"
20260620,"leaky",1,1,"GSM615262"
20260620,"leaky",1,1,"GSM615264"
20260620,"leaky",1,1,"GSM615265"
20260620,"leaky",1,1,"GSM615269"
20260620,"leaky",1,1,"GSM615273"
20260620,"leaky",1,1,"GSM615276"
20260620,"leaky",1,1,"GSM615281"
20260620,"leaky",1,1,"GSM615282"
20260620,"leaky",1,1,"GSM615285"
20260620,"leaky",1,1,"GSM615286"
20260620,"leaky",1,1,"GSM615287"
20260620,"leaky",1,1,"GSM615289"
20260620,"leaky",1,1,"GSM615295"
20260620,"leaky",1,1,"GSM615304"
20260620,"leaky",1,1,"GSM615310"
20260620,"leaky",1,1,"GSM615312"
20260620,"leaky",1,1,"GSM615318"
20260620,"leaky",1,1,"GSM615322"
20260620,"leaky",1,1,"GSM615326"
20260620,"leaky",1,1,"GSM615329"
20260620,"leaky",1,1,"GSM615339"
20260620,"leaky",1,1,"GSM615354"
20260620,"leaky",1,1,"GSM615359"
20260620,"leaky",1,1,"GSM615363"
20260620,"leaky",1,1,"GSM615369"
20260620,"leaky",1,1,"GSM615375"
20260620,"leaky",1,1,"GSM615388"
20260620,"leaky",1,1,"GSM615389"
20260620,"leaky",1,1,"GSM615399"
20260620,"leaky",1,1,"GSM615401"
20260620,"leaky",1,2,"GSM615100"
20260620,"leaky",1,2,"GSM615108"
20260620,"leaky",1,2,"GSM615115"
20260620,"leaky",1,2,"GSM615129"
20260620,"leaky",1,2,"GSM615131"
20260620,"leaky",1,2,"GSM615134"
20260620,"leaky",1,2,"GSM615135"
20260620,"leaky",1,2,"GSM615140"
20260620,"leaky",1,2,"GSM615141"
20260620,"leaky",1,2,"GSM615143"
20260620,"leaky",1,2,"GSM615144"
20260620,"leaky",1,2,"GSM615145"
20260620,"leaky",1,2,"GSM615150"
20260620,"leaky",1,2,"GSM615151"
20260620,"leaky",1,2,"GSM615156"
20260620,"leaky",1,2,"GSM615157"
20260620,"leaky",1,2,"GSM615169"
20260620,"leaky",1,2,"GSM615172"
20260620,"leaky",1,2,"GSM615176"
20260620,"leaky",1,2,"GSM615183"
20260620,"leaky",1,2,"GSM615188"
20260620,"leaky",1,2,"GSM615197"
20260620,"leaky",1,2,"GSM615198"
20260620,"leaky",1,2,"GSM615200"
20260620,"leaky",1,2,"GSM615202"
20260620,"leaky",1,2,"GSM615203"
20260620,"leaky",1,2,"GSM615204"
20260620,"leaky",1,2,"GSM615209"
20260620,"leaky",1,2,"GSM615210"
20260620,"leaky",1,2,"GSM615212"
20260620,"leaky",1,2,"GSM615216"
20260620,"leaky",1,2,"GSM615231"
20260620,"leaky",1,2,"GSM615253"
20260620,"leaky",1,2,"GSM615255"
20260620,"leaky",1,2,"GSM615263"
20260620,"leaky",1,2,"GSM615270"
20260620,"leaky",1,2,"GSM615271"
20260620,"leaky",1,2,"GSM615301"
20260620,"leaky",1,2,"GSM615313"
20260620,"leaky",1,2,"GSM615321"
20260620,"leaky",1,2,"GSM615331"
20260620,"leaky",1,2,"GSM615340"
20260620,"leaky",1,2,"GSM615344"
20260620,"leaky",1,2,"GSM615345"
20260620,"leaky",1,2,"GSM615347"
20260620,"leaky",1,2,"GSM615348"
20260620,"leaky",1,2,"GSM615353"
20260620,"leaky",1,2,"GSM615355"
20260620,"leaky",1,2,"GSM615356"
20260620,"leaky",1,2,"GSM615361"
20260620,"leaky",1,2,"GSM615362"
20260620,"leaky",1,2,"GSM615368"
20260620,"leaky",1,2,"GSM615370"
20260620,"leaky",1,2,"GSM615373"
20260620,"leaky",1,2,"GSM615377"
20260620,"leaky",1,2,"GSM615379"
20260620,"leaky",1,2,"GSM615382"
20260620,"leaky",1,2,"GSM615384"
20260620,"leaky",1,2,"GSM615392"
20260620,"leaky",1,2,"GSM615394"
20260620,"leaky",1,2,"GSM615395"
20260620,"leaky",1,2,"GSM615397"
20260620,"leaky",1,3,"GSM615099"
20260620,"leaky",1,3,"GSM615102"
20260620,"leaky",1,3,"GSM615103"
20260620,"leaky",1,3,"GSM615109"
20260620,"leaky",1,3,"GSM615111"
20260620,"leaky",1,3,"GSM615116"
20260620,"leaky",1,3,"GSM615127"
20260620,"leaky",1,3,"GSM615130"
20260620,"leaky",1,3,"GSM615137"
20260620,"leaky",1,3,"GSM615138"
20260620,"leaky",1,3,"GSM615139"
20260620,"leaky",1,3,"GSM615142"
20260620,"leaky",1,3,"GSM615148"
20260620,"leaky",1,3,"GSM615153"
20260620,"leaky",1,3,"GSM615159"
20260620,"leaky",1,3,"GSM615162"
20260620,"leaky",1,3,"GSM615168"
20260620,"leaky",1,3,"GSM615179"
20260620,"leaky",1,3,"GSM615180"
20260620,"leaky",1,3,"GSM615184"
20260620,"leaky",1,3,"GSM615192"
20260620,"leaky",1,3,"GSM615199"
20260620,"leaky",1,3,"GSM615219"
20260620,"leaky",1,3,"GSM615228"
20260620,"leaky",1,3,"GSM615230"
20260620,"leaky",1,3,"GSM615235"
20260620,"leaky",1,3,"GSM615236"
20260620,"leaky",1,3,"GSM615237"
20260620,"leaky",1,3,"GSM615245"
20260620,"leaky",1,3,"GSM615246"
20260620,"leaky",1,3,"GSM615256"
20260620,"leaky",1,3,"GSM615259"
20260620,"leaky",1,3,"GSM615261"
20260620,"leaky",1,3,"GSM615272"
20260620,"leaky",1,3,"GSM615274"
20260620,"leaky",1,3,"GSM615280"
20260620,"leaky",1,3,"GSM615284"
20260620,"leaky",1,3,"GSM615294"
20260620,"leaky",1,3,"GSM615296"
20260620,"leaky",1,3,"GSM615297"
20260620,"leaky",1,3,"GSM615300"
20260620,"leaky",1,3,"GSM615302"
20260620,"leaky",1,3,"GSM615306"
20260620,"leaky",1,3,"GSM615308"
20260620,"leaky",1,3,"GSM615324"
20260620,"leaky",1,3,"GSM615330"
20260620,"leaky",1,3,"GSM615335"
20260620,"leaky",1,3,"GSM615337"
20260620,"leaky",1,3,"GSM615342"
20260620,"leaky",1,3,"GSM615351"
20260620,"leaky",1,3,"GSM615352"
20260620,"leaky",1,3,"GSM615357"
20260620,"leaky",1,3,"GSM615360"
20260620,"leaky",1,3,"GSM615366"
