"seed","fold","rank","feature"
20260620,1,1,"204750_s_at"
20260620,1,2,"205225_at"
20260620,1,3,"210084_x_at"
20260620,1,4,"214440_at"
20260620,1,5,"204822_at"
20260620,1,6,"204825_at"
20260620,1,7,"219051_x_at"
20260620,1,8,"203999_at"
20260620,1,9,"212956_at"
20260620,1,10,"203693_s_at"
20260620,1,11,"210052_s_at"
20260620,1,12,"212960_at"
20260620,1,13,"204400_at"
20260620,1,14,"205347_s_at"
20260620,1,15,"221864_at"
20260620,1,16,"209832_s_at"
20260620,1,17,"206869_at"
20260620,1,18,"209122_at"
20260620,1,19,"213134_x_at"
20260620,1,20,"205548_s_at"
20260620,1,21,"216092_s_at"
20260620,1,22,"204315_s_at"
20260620,1,23,"221524_s_at"
20260620,1,24,"202263_at"
20260620,1,25,"206373_at"
20260620,1,26,"202870_s_at"
20260620,1,27,"214053_at"
20260620,1,28,"221046_s_at"
20260620,1,29,"204962_s_at"
20260620,1,30,"204914_s_at"
20260620,1,31,"202107_s_at"
20260620,1,32,"211235_s_at"
20260620,1,33,"210735_s_at"
20260620,1,34,"212099_at"
20260620,1,35,"203692_s_at"
20260620,1,36,"214431_at"
20260620,1,37,"212196_at"
20260620,1,38,"212195_at"
20260620,1,39,"203397_s_at"
20260620,1,40,"214164_x_at"
20260620,1,41,"202240_at"
20260620,1,42,"218211_s_at"
20260620,1,43,"209204_at"
20260620,1,44,"203963_at"
20260620,1,45,"212638_s_at"
20260620,1,46,"216603_at"
20260620,1,47,"209604_s_at"
20260620,1,48,"222039_at"
20260620,1,49,"205201_at"
20260620,1,50,"209623_at"
20260620,1,51,"215867_x_at"
20260620,1,52,"222275_at"
20260620,1,53,"218259_at"
20260620,1,54,"219197_s_at"
20260620,1,55,"214428_x_at"
20260620,1,56,"212492_s_at"
20260620,1,57,"221203_s_at"
20260620,1,58,"213032_at"
20260620,1,59,"202752_x_at"
20260620,1,60,"204767_s_at"
20260620,1,61,"218902_at"
20260620,1,62,"210085_s_at"
20260620,1,63,"205696_s_at"
20260620,1,64,"203038_at"
20260620,1,65,"203712_at"
20260620,1,66,"220865_s_at"
20260620,1,67,"200934_at"
20260620,1,68,"209289_at"
20260620,1,69,"212265_at"
20260620,1,70,"208451_s_at"
20260620,1,71,"203702_s_at"
20260620,1,72,"200052_s_at"
20260620,1,73,"209114_at"
20260620,1,74,"209173_at"
20260620,1,75,"209644_x_at"
20260620,1,76,"218726_at"
20260620,1,77,"203418_at"
20260620,1,78,"206754_s_at"
20260620,1,79,"207030_s_at"
20260620,1,80,"202035_s_at"
20260620,1,81,"209408_at"
20260620,1,82,"201938_at"
20260620,1,83,"218394_at"
20260620,1,84,"218542_at"
20260620,1,85,"219806_s_at"
20260620,1,86,"209290_s_at"
20260620,1,87,"204863_s_at"
20260620,1,88,"202088_at"
20260620,1,89,"212330_at"
20260620,1,90,"218236_s_at"
20260620,1,91,"211126_s_at"
20260620,1,92,"219956_at"
20260620,1,93,"207039_at"
20260620,1,94,"204623_at"
20260620,1,95,"203222_s_at"
20260620,1,96,"220295_x_at"
20260620,1,97,"213564_x_at"
20260620,1,98,"213029_at"
20260620,1,99,"218755_at"
20260620,1,100,"206391_at"
20260620,2,1,"200718_s_at"
20260620,2,2,"204750_s_at"
20260620,2,3,"205225_at"
20260620,2,4,"212960_at"
20260620,2,5,"212956_at"
20260620,2,6,"204012_s_at"
20260620,2,7,"209204_at"
20260620,2,8,"204825_at"
20260620,2,9,"214440_at"
20260620,2,10,"221524_s_at"
20260620,2,11,"210084_x_at"
20260620,2,12,"204623_at"
20260620,2,13,"203693_s_at"
20260620,2,14,"209604_s_at"
20260620,2,15,"202589_at"
20260620,2,16,"208451_s_at"
20260620,2,17,"201231_s_at"
20260620,2,18,"202870_s_at"
20260620,2,19,"216237_s_at"
20260620,2,20,"203702_s_at"
20260620,2,21,"214428_x_at"
20260620,2,22,"216092_s_at"
20260620,2,23,"206391_at"
20260620,2,24,"204317_at"
20260620,2,25,"209122_at"
20260620,2,26,"206194_at"
20260620,2,27,"221872_at"
20260620,2,28,"206392_s_at"
20260620,2,29,"203999_at"
20260620,2,30,"208682_s_at"
20260620,2,31,"210052_s_at"
20260620,2,32,"214164_x_at"
20260620,2,33,"219752_at"
20260620,2,34,"212099_at"
20260620,2,35,"218211_s_at"
