"metric","value"
"n_outer_folds","5"
"top_k_per_fold","100"
"feature_universe_size","22283"
"total_unique_features","229"
"features_selected_in_all_folds","26"
"features_selected_in_single_fold","105"
"mean_pairwise_jaccard","0.3487"
"median_pairwise_jaccard","0.3246"
"nogueira_stability_index","0.5128"
"top_recurrent_01","203693_s_at (5/5)"
"top_recurrent_02","203702_s_at (5/5)"
"top_recurrent_03","203999_at (5/5)"
"top_recurrent_04","204750_s_at (5/5)"
"top_recurrent_05","204822_at (5/5)"
"top_recurrent_06","204825_at (5/5)"
"top_recurrent_07","205225_at (5/5)"
"top_recurrent_08","205548_s_at (5/5)"
"top_recurrent_09","206391_at (5/5)"
"top_recurrent_10","209204_at (5/5)"
"top_recurrent_11","209604_s_at (5/5)"
"top_recurrent_12","209623_at (5/5)"
"top_recurrent_13","210052_s_at (5/5)"
"top_recurrent_14","210084_x_at (5/5)"
"top_recurrent_15","212099_at (5/5)"
