"seed","is_anchor","nogueira_stability","mean_jaccard","median_jaccard","total_unique_features","stable_core_count","unstable_tail_count","top_k","n_outer_folds","feature_universe"
20260620,TRUE,0.5128136410765,0.348697191447531,0.324561403508772,229,26,105,100,5,22283
20260621,FALSE,0.555002975251318,0.388139470945468,0.37937595129376,221,25,109,100,5,22283
20260622,FALSE,0.556007483207862,0.389198423938693,0.369927281257331,217,28,99,100,5,22283
20260623,FALSE,0.507791101293783,0.343973569032823,0.324503311258278,241,24,133,100,5,22283
20260624,FALSE,0.575093134382184,0.406509953770384,0.398601398601399,210,33,91,100,5,22283
20260625,FALSE,0.561030022990578,0.39205924441547,0.393745143745144,217,30,98,100,5,22283
20260626,FALSE,0.567057070729838,0.398917362410552,0.398601398601399,213,31,91,100,5,22283
20260627,FALSE,0.542948879772798,0.376409240060785,0.384232206150014,227,30,113,100,5,22283
20260628,FALSE,0.547971419555515,0.379626202614732,0.379310344827586,222,30,104,100,5,22283
20260629,FALSE,0.543953387729342,0.376050659627016,0.37937595129376,225,30,111,100,5,22283
20260630,FALSE,0.559021007077491,0.390837143189135,0.393745143745144,216,31,94,100,5,22283
20260631,FALSE,0.507791101293783,0.344538250408095,0.346816615272991,229,24,105,100,5,22283
20260632,FALSE,0.511809133119956,0.348140195070671,0.346816615272991,231,23,112,100,5,22283
20260633,FALSE,0.534912816120452,0.369688116830225,0.365203615692852,229,29,116,100,5,22283
20260634,FALSE,0.547971419555515,0.379793086843317,0.384099616858238,222,32,101,100,5,22283
20260635,FALSE,0.550984943425145,0.38397731813884,0.388888888888889,220,29,101,100,5,22283
20260636,FALSE,0.52185421268539,0.357194048469908,0.374586679263108,226,24,105,100,5,22283
20260637,FALSE,0.534912816120452,0.368014415268934,0.36986301369863,223,26,105,100,5,22283
20260638,FALSE,0.539935355903168,0.372742909351257,0.36986301369863,223,26,105,100,5,22283
20260639,FALSE,0.533908308163909,0.367352185983544,0.365203615692852,223,25,102,100,5,22283
20260640,FALSE,0.553998467294775,0.386289785807092,0.388955871714492,219,32,98,100,5,22283
20260641,FALSE,0.484687418293287,0.322923778977216,0.324503311258278,246,24,131,100,5,22283
20260642,FALSE,0.520849704728846,0.35482529290635,0.351413048440853,233,30,114,100,5,22283
20260643,FALSE,0.559021007077491,0.390577532208241,0.398601398601399,215,29,96,100,5,22283
20260644,FALSE,0.542948879772799,0.376579653065103,0.36986301369863,222,28,101,100,5,22283
20260645,FALSE,0.549980435468602,0.382449434998702,0.388888888888889,228,32,122,100,5,22283
20260646,FALSE,0.600205833295767,0.431049287200495,0.438848920863309,204,35,87,100,5,22283
20260647,FALSE,0.556007483207862,0.389114999918656,0.384099616858238,222,32,109,100,5,22283
20260648,FALSE,0.474642338727854,0.318514997063617,0.346816615272991,243,17,125,100,5,22283
20260649,FALSE,0.526876752468106,0.360437513752292,0.365203615692852,230,27,116,100,5,22283
