"cohort","pipeline","metric","point","ci_lo","ci_hi","n_boot","method"
"GSE25055","A_leaky_baseline","auroc",0.783,0.7278,0.8357,2000,"stratified percentile bootstrap"
"GSE25055","A_leaky_baseline","pr_auc",0.4257,0.3501,0.5208,2000,"stratified percentile bootstrap"
"GSE25055","A_leaky_baseline","balanced_accuracy",0.5525,0.5249,0.5824,2000,"stratified percentile bootstrap"
"GSE25055","A_leaky_baseline","mcc",0.1982,0.1015,0.2873,2000,"stratified percentile bootstrap"
"GSE25055","A_leaky_baseline","sensitivity",0.1298,0.0772,0.1895,2000,"stratified percentile bootstrap"
"GSE25055","A_leaky_baseline","specificity",0.9751,0.9631,0.9863,2000,"stratified percentile bootstrap"
"GSE25055","B_guarded_nested","auroc",0.7032,0.6281,0.772,2000,"stratified percentile bootstrap"
"GSE25055","B_guarded_nested","pr_auc",0.3476,0.2674,0.467,2000,"stratified percentile bootstrap"
"GSE25055","B_guarded_nested","balanced_accuracy",0.5724,0.5238,0.625,2000,"stratified percentile bootstrap"
"GSE25055","B_guarded_nested","mcc",0.2138,0.0763,0.3504,2000,"stratified percentile bootstrap"
"GSE25055","B_guarded_nested","sensitivity",0.193,0.1053,0.2982,2000,"stratified percentile bootstrap"
"GSE25055","B_guarded_nested","specificity",0.9518,0.9237,0.9759,2000,"stratified percentile bootstrap"
"GSE25065","B_guarded_nested_external","auroc",0.5633,0.4632,0.6612,2000,"stratified percentile bootstrap"
"GSE25065","B_guarded_nested_external","pr_auc",0.2986,0.2216,0.4141,2000,"stratified percentile bootstrap"
"GSE25065","B_guarded_nested_external","balanced_accuracy",0.531,0.4821,0.5881,2000,"stratified percentile bootstrap"
"GSE25065","B_guarded_nested_external","mcc",0.1013,-0.0603,0.2723,2000,"stratified percentile bootstrap"
"GSE25065","B_guarded_nested_external","sensitivity",0.119,0.0238,0.2149,2000,"stratified percentile bootstrap"
"GSE25065","B_guarded_nested_external","specificity",0.9429,0.9,0.9786,2000,"stratified percentile bootstrap"
